,_player_id,_name,_height,_weight,_position,_season,_team_abbreviation,_minutes_played,_total_rebounds,_player_efficiency_rating,_field_goal_percentage,_free_throw_percentage,_two_point_percentage,_three_point_percentage,_offensive_rebounds,_assists,_turnovers,_usage_percentage,_offensive_win_shares,_defensive_rebounds,_steals,_blocks,_defensive_win_shares
luguentz-dort-1,luguentz-dort-1,Luguentz Dort,6-4,215lb,Guard,2018-19,arizona-state,1072,145,16.5,.405,.700,.472,.307,44,79,99,27.9,1.5,101,52,7,1.6
remy-martin-2,remy-martin-2,Remy Martin,6-0,170lb,Guard,2018-19,arizona-state,1043,101,16.6,.402,.736,.462,.312,21,160,67,21.6,2.0,80,40,1,1.3
zylan-cheatham-1,zylan-cheatham-1,Zylan Cheatham,6-8,220lb,Forward,2018-19,arizona-state,1102,351,18.7,.534,.618,.543,.440,73,108,103,19.9,1.7,278,28,27,2.2
rob-edwards-1,rob-edwards-1,Rob Edwards,6-4,200lb,Guard,2018-19,arizona-state,820,92,11.8,.344,.835,.314,.375,9,36,37,20.4,0.9,83,28,5,1.1
romello-white-1,romello-white-1,Romello White,6-8,235lb,Forward,2018-19,arizona-state,850,177,15.4,.598,.579,.598,,77,11,45,16.3,1.6,100,13,24,1.1
kimani-lawrence-1,kimani-lawrence-1,Kimani Lawrence,6-7,210lb,Forward,2018-19,arizona-state,852,119,12.1,.419,.747,.504,.314,36,43,46,18.0,1.1,83,19,8,1.0
taeshon-cherry-1,taeshon-cherry-1,Taeshon Cherry,6-8,210lb,Forward,2018-19,arizona-state,523,78,11.4,.391,.714,.511,.345,14,10,15,16.6,0.6,64,17,7,0.8
dequon-lake-1,dequon-lake-1,De'Quon Lake,6-10,225lb,Forward,2018-19,arizona-state,431,121,19.7,.766,.638,.766,,52,3,24,13.6,1.1,69,9,26,0.8
elias-valtonen-1,elias-valtonen-1,Elias Valtonen,6-7,195lb,Guard,2018-19,arizona-state,77,8,9.9,.556,1.000,1.000,.500,1,2,6,9.9,0.0,7,3,4,0.1
mickey-mitchell-1,mickey-mitchell-1,Mickey Mitchell,6-7,225lb,Forward,2018-19,arizona-state,53,16,11.3,.714,.125,.667,1.000,6,6,6,15.1,0.0,10,1,0,0.1
vitaliy-shibel-1,vitaliy-shibel-1,Vitaliy Shibel,6-9,210lb,Forward,2018-19,arizona-state,51,7,-3.0,.222,,.000,.286,2,0,3,11.2,-0.1,5,1,0,0.1
kyle-feit-1,kyle-feit-1,Kyle Feit,6-4,190lb,Guard,2018-19,arizona-state,5,2,33.2,.667,,1.000,.500,0,0,1,38.1,0.0,2,0,0,0.0
grant-fogerty-1,grant-fogerty-1,Grant Fogerty,6-0,175lb,Guard,2018-19,arizona-state,7,0,19.4,1.000,,1.000,,0,1,0,6.8,0.0,0,0,0,0.0
jordan-salzman-1,jordan-salzman-1,Jordan Salzman,5-10,175lb,Guard,2018-19,arizona-state,6,0,5.6,.000,.500,.000,,0,0,0,31.0,0.0,0,1,0,0.0
jack-roggin-1,jack-roggin-1,Jack Roggin,6-0,165lb,Guard,2018-19,arizona-state,2,0,-15.9,,,,,0,0,0,0.0,0.0,0,0,0,0.0
trev-thompson-1,trev-thompson-1,Trev Thompson,6-2,175lb,Guard,2018-19,arizona-state,6,1,-7.3,.000,,.000,,0,0,1,15.9,0.0,1,1,0,0.0
brandon-randolph-2,brandon-randolph-2,Brandon Randolph,6-6,175lb,Guard,2018-19,arizona,923,105,13.0,.384,.781,.433,.295,23,32,42,25.3,0.8,82,22,9,1.2
chase-jeter-1,chase-jeter-1,Chase Jeter,6-10,230lb,Center-Forward,2018-19,arizona,743,197,20.7,.574,.623,.574,,66,18,41,21.9,1.8,131,14,17,1.3
brandon-williams-8,brandon-williams-8,Brandon Williams,6-2,190lb,Guard,2018-19,arizona,732,72,16.0,.377,.819,.436,.316,5,88,46,22.8,1.4,67,21,5,1.0
justin-coleman-2,justin-coleman-2,Justin Coleman,5-10,170lb,Guard,2018-19,arizona,986,83,11.4,.380,.788,.398,.360,7,120,68,17.7,0.9,76,29,0,1.3
ryan-luther-1,ryan-luther-1,Ryan Luther,6-9,225lb,Forward,2018-19,arizona,796,139,15.6,.440,.765,.514,.375,59,39,37,17.8,1.5,80,27,5,1.2
dylan-smith-1,dylan-smith-1,Dylan Smith,6-5,170lb,Guard,2018-19,arizona,783,118,8.3,.341,.739,.326,.351,13,35,53,19.2,-0.1,105,19,10,1.2
ira-lee-1,ira-lee-1,Ira Lee,6-7,235lb,Forward,2018-19,arizona,553,131,18.0,.617,.641,.626,.000,47,14,36,18.4,1.1,84,5,23,0.9
alex-barcello-1,alex-barcello-1,Alex Barcello,6-2,180lb,Guard,2018-19,arizona,287,26,11.9,.393,.905,.528,.292,2,15,10,18.5,0.4,24,10,0,0.4
devonaire-doutrive-1,devonaire-doutrive-1,Devonaire Doutrive,6-5,175lb,Guard,2018-19,arizona,286,78,17.1,.456,.571,.458,.450,32,18,17,17.6,0.5,46,12,1,0.5
emmanuel-akot-1,emmanuel-akot-1,Emmanuel Akot,6-7,200lb,Guard,2018-19,arizona,328,48,6.7,.394,.400,.444,.286,9,18,15,13.7,0.0,39,4,2,0.4
jake-desjardins-1,jake-desjardins-1,Jake Desjardins,6-6,215lb,Forward,2018-19,arizona,23,7,14.5,.167,.417,.167,,4,1,0,26.0,0.0,3,2,1,0.1
matt-weyand-1,matt-weyand-1,Matt Weyand,6-5,190lb,Forward,2018-19,arizona,7,1,21.4,1.000,,1.000,,1,0,0,7.3,0.0,0,0,0,0.0
kory-jones-1,kory-jones-1,Kory Jones,6-3,170lb,Guard,2018-19,arizona,3,0,0.0,,,,,0,0,0,0.0,0.0,0,0,0,0.0
alec-spence-1,alec-spence-1,Alec Spence,6-6,195lb,Guard,2018-19,arizona,1,0,0.0,,,,,0,0,0,0.0,0.0,0,0,0,0.0
justice-sueing-2,justice-sueing-2,Justice Sueing,6-7,215lb,Forward,2018-19,california,1070,186,19.7,.432,.782,.505,.302,46,61,53,22.3,2.3,140,52,15,0.6
darius-mcneill-1,darius-mcneill-1,Darius McNeill,6-3,182lb,Guard,2018-19,california,1010,44,11.3,.391,.696,.455,.349,7,28,34,19.1,0.7,37,46,2,0.0
paris-austin-1,paris-austin-1,Paris Austin,6-0,185lb,Guard,2018-19,california,1000,89,14.4,.440,.727,.461,.281,9,125,73,21.2,0.9,80,42,5,0.2
matt-bradley-1,matt-bradley-1,Matt Bradley,6-4,220lb,Guard,2018-19,california,879,112,14.9,.411,.791,.369,.472,28,63,58,21.6,1.2,84,27,11,0.1
connor-vanover-1,connor-vanover-1,Connor Vanover,7-3,225lb,Forward,2018-19,california,490,83,18.9,.469,.667,.554,.355,21,5,18,22.1,0.8,62,7,35,0.2
andre-kelly-1,andre-kelly-1,Andre Kelly,6-8,260lb,Forward,2018-19,california,609,116,14.9,.551,.703,.548,.667,33,6,28,16.4,1.0,83,15,14,0.2
juhwan-harris-dyson-1,juhwan-harris-dyson-1,Juhwan Harris-Dyson,6-5,203lb,Guard,2018-19,california,479,60,7.8,.408,.564,.442,.000,19,30,34,17.0,-0.3,41,25,8,0.2
grant-anticevich-1,grant-anticevich-1,Grant Anticevich,6-8,240lb,Forward,2018-19,california,315,58,9.6,.411,.800,.457,.333,21,11,17,15.4,0.1,37,9,6,0.1
jacobi-gordon-1,jacobi-gordon-1,Jacobi Gordon,6-7,215lb,Forward,2018-19,california,241,42,6.5,.306,.750,.381,.250,18,5,17,17.3,0.0,24,2,1,0.0
roman-davis-1,roman-davis-1,Roman Davis,6-7,210lb,Forward,2018-19,california,109,29,0.7,.280,.267,.292,.000,5,2,5,17.9,-0.3,24,1,2,0.1
jacob-orender-1,jacob-orender-1,Jacob Orender,6-0,178lb,Guard,2018-19,california,12,1,-5.7,.143,,.000,.250,0,1,1,35.0,-0.1,1,1,0,0.0
david-serge-1,david-serge-1,David Serge,6-4,185lb,Guard,2018-19,california,3,0,69.1,1.000,,,1.000,0,1,0,17.5,0.1,0,0,0,0.0
jules-erving-1,jules-erving-1,Jules Erving,6-5,205lb,Forward,2018-19,california,3,0,-20.9,,,,,0,0,1,17.5,0.0,0,0,0,0.0
blake-welle-1,blake-welle-1,Blake Welle,6-7,208lb,Forward,2018-19,california,4,1,-7.3,.000,,,.000,0,0,0,13.1,0.0,1,0,0,0.0
tyler-bey-1,tyler-bey-1,Tyler Bey,6-7,218lb,Guard,2018-19,colorado,948,355,26.0,.541,.782,.563,.227,77,23,71,25.5,2.5,278,30,44,2.5
mckinley-wrightiv-1,mckinley-wrightiv-1,McKinley Wright IV,6-0,195lb,Guard,2018-19,colorado,1133,173,18.9,.494,.807,.554,.365,28,167,108,21.8,2.4,145,39,7,2.0
shane-gatling-1,shane-gatling-1,Shane Gatling,6-2,181lb,Guard,2018-19,colorado,934,70,13.2,.358,.825,.427,.319,7,60,44,20.5,1.4,63,34,7,1.5
dshawn-schwartz-1,dshawn-schwartz-1,D'Shawn Schwartz,6-7,226lb,Guard,2018-19,colorado,1003,131,12.3,.436,.778,.563,.313,34,46,42,16.8,1.6,97,13,6,1.4
lucas-siewert-1,lucas-siewert-1,Lucas Siewert,6-10,230lb,Forward,2018-19,colorado,920,181,13.5,.430,.742,.500,.352,45,56,58,19.3,1.2,136,15,12,1.5
evan-battey-1,evan-battey-1,Evan Battey,6-8,264lb,Forward,2018-19,colorado,768,157,17.1,.484,.705,.507,.188,68,44,38,20.2,1.8,89,17,12,1.3
daylen-kountz-1,daylen-kountz-1,Daylen Kountz,6-4,185lb,Guard,2018-19,colorado,616,50,10.1,.430,.646,.487,.308,3,46,41,19.3,0.4,47,15,3,0.9
namon-wright-1,namon-wright-1,Namon Wright,6-5,197lb,Guard,2018-19,colorado,237,40,18.9,.453,.844,.533,.382,6,12,10,18.9,0.7,34,6,3,0.4
alexander-strating-1,alexander-strating-1,Alexander Strating,6-7,227lb,Forward,2018-19,colorado,231,33,11.0,.688,.500,.688,,17,9,12,11.8,0.3,16,2,2,0.3
deleon-brown-1,deleon-brown-1,Deleon Brown,6-4,165lb,Guard,2018-19,colorado,190,11,3.7,.324,.583,.353,.300,2,7,9,13.7,-0.1,9,4,1,0.3
eli-parquet-1,eli-parquet-1,Eli Parquet,6-3,192lb,Guard,2018-19,colorado,222,26,3.4,.268,.429,.300,.238,8,8,13,13.0,-0.3,18,6,10,0.4
benan-ersek-1,benan-ersek-1,Benan Ersek,6-2,170lb,Guard,2018-19,colorado,9,1,-8.7,,,,,0,0,1,5.6,0.0,1,0,0,0.0
aj-martinka-1,aj-martinka-1,A.J. Martinka,6-5,195lb,Guard,2018-19,colorado,7,4,-25.9,.000,,.000,,1,0,2,35.9,-0.1,3,0,0,0.0
aidan-mcquade-1,aidan-mcquade-1,Aidan McQuade,6-2,185lb,Guard,2018-19,colorado,8,1,-7.8,.000,,,.000,0,0,0,6.3,0.0,1,0,0,0.0
tres-tinkle-1,tres-tinkle-1,Tres Tinkle,6-8,225lb,Forward,2018-19,oregon-state,1094,243,27.0,.483,.770,.570,.329,60,115,89,29.4,3.8,183,52,16,1.7
stephen-thompsonjr-1,stephen-thompsonjr-1,Stephen Thompson Jr.,6-4,190lb,Guard,2018-19,oregon-state,1135,130,17.7,.428,.755,.530,.308,28,100,62,24.4,2.2,102,48,4,1.2
ethan-thompson-1,ethan-thompson-1,Ethan Thompson,6-5,190lb,Guard,2018-19,oregon-state,1065,156,18.1,.444,.797,.497,.359,37,120,75,21.6,2.5,119,29,14,1.1
kylor-kelley-1,kylor-kelley-1,Kylor Kelley,7-0,215lb,Forward,2018-19,oregon-state,728,154,22.4,.654,.613,.654,,48,13,30,15.1,1.5,106,10,104,1.3
alfred-hollins-1,alfred-hollins-1,Alfred Hollins,6-6,195lb,Forward,2018-19,oregon-state,658,115,8.3,.377,.604,.465,.231,34,38,45,16.4,-0.1,81,18,7,0.7
gligorije-rakocevic-1,gligorije-rakocevic-1,Gligorije Rakocevic,6-11,255lb,Center,2018-19,oregon-state,397,74,15.6,.593,.714,.616,.200,34,3,16,16.1,0.9,40,4,10,0.3
zach-reichle-1,zach-reichle-1,Zach Reichle,6-5,205lb,Guard,2018-19,oregon-state,593,63,6.5,.302,.765,.227,.324,13,43,32,12.6,0.2,50,16,1,0.5
antoine-vernon-1,antoine-vernon-1,Antoine Vernon,6-0,175lb,Guard,2018-19,oregon-state,326,23,7.3,.371,1.000,.286,.429,4,25,15,9.3,0.3,19,7,0,0.2
