,_player_id,_name,_height,_weight,_position,_season,_team_abbreviation,_minutes_played,_total_rebounds,_player_efficiency_rating,_field_goal_percentage,_free_throw_percentage,_two_point_percentage,_three_point_percentage,_offensive_rebounds,_assists,_turnovers,_usage_percentage,_offensive_win_shares,_defensive_rebounds,_steals,_blocks,_defensive_win_shares
jaren-lewis-1,jaren-lewis-1,Jaren Lewis,6-6,215lb,Guard-Forward,2018-19,abilene-christian,1056,208,22.2,.466,.733,.482,.333,77,93,60,25.0,2.6,131,54,22,2.4
payten-ricks-1,payten-ricks-1,Payten Ricks,6-2,190lb,Guard,2018-19,abilene-christian,1098,95,15.5,.421,.842,.478,.395,6,65,46,18.0,2.1,89,57,1,2.2
jaylen-franklin-1,jaylen-franklin-1,Jaylen Franklin,6-2,205lb,Guard,2018-19,abilene-christian,1092,126,17.7,.535,.591,.542,.450,15,166,70,18.0,2.2,111,61,8,2.3
jalone-friday-1,jalone-friday-1,Jalone Friday,6-9,235lb,Center,2018-19,abilene-christian,502,107,22.2,.473,.780,.519,.377,25,22,46,32.6,0.9,82,16,22,1.2
hayden-farquhar-1,hayden-farquhar-1,Hayden Farquhar,6-7,215lb,Forward,2018-19,abilene-christian,481,87,21.6,.500,.647,.625,.386,35,27,24,22.6,1.4,52,22,8,1.0
bj-maxwell-1,bj-maxwell-1,B.J. Maxwell,6-5,190lb,Guard,2018-19,abilene-christian,642,113,19.1,.491,.853,.584,.405,37,40,20,16.0,1.8,76,26,9,1.3
joe-pleasant-1,joe-pleasant-1,Joe Pleasant,6-8,220lb,Forward,2018-19,abilene-christian,498,89,14.5,.540,.654,.571,.286,34,10,37,21.0,0.7,55,10,5,0.9
damien-daniels-1,damien-daniels-1,Damien Daniels,5-7,140lb,Guard,2018-19,abilene-christian,510,53,9.7,.354,.808,.417,.283,12,61,32,16.1,0.3,41,20,1,0.9
trey-lenox-1,trey-lenox-1,Trey Lenox,6-3,220lb,Guard,2018-19,abilene-christian,520,41,6.0,.403,1.000,.360,.432,6,22,19,8.6,0.2,35,14,1,0.8
clay-gayman-1,clay-gayman-1,Clay Gayman,6-6,220lb,Forward,2018-19,abilene-christian,155,30,16.3,.458,.611,.483,.421,14,8,17,24.8,0.1,16,7,3,0.3
kolton-kohl-1,kolton-kohl-1,Kolton Kohl,7-0,240lb,Center,2018-19,abilene-christian,142,51,25.0,.462,.657,.462,,23,5,11,24.5,0.3,28,5,13,0.4
tobias-cameron-1,tobias-cameron-1,Tobias Cameron,6-5,210lb,Guard,2018-19,abilene-christian,84,18,8.9,.412,.667,.667,.273,7,5,8,16.4,0.0,11,2,0,0.2
chase-cobb-1,chase-cobb-1,Chase Cobb,6-1,190lb,Guard,2018-19,abilene-christian,44,4,13.4,.625,.500,1.000,.500,1,0,3,15.3,0.1,3,2,0,0.1
paul-hiepler-1,paul-hiepler-1,Paul Hiepler,6-4,170lb,Guard,2018-19,abilene-christian,26,3,8.5,.333,.667,.500,.250,1,1,1,16.9,0.0,2,1,0,0.0
lavelle-scottie-1,lavelle-scottie-1,Lavelle Scottie,6-7,225lb,Forward,2018-19,air-force,1005,178,15.9,.487,.607,.556,.297,42,42,96,29.4,0.5,136,23,8,1.0
ryan-swan-ford-1,ryan-swan-ford-1,Ryan Swan-Ford,6-7,235lb,Forward,2018-19,air-force,851,221,23.1,.538,.688,.612,.370,82,57,68,24.1,2.3,139,26,13,1.1
aj-walker-1,aj-walker-1,A.J. Walker,6-2,191lb,Guard,2018-19,air-force,841,62,11.7,.412,.703,.420,.400,4,80,48,19.7,0.8,58,25,4,0.7
christopher-joyce-1,christopher-joyce-1,Christopher Joyce,6-5,185lb,Guard,2018-19,air-force,685,106,13.3,.400,.685,.449,.350,14,51,31,20.8,0.8,92,11,5,0.7
caleb-morris-1,caleb-morris-1,Caleb Morris,6-4,185lb,Guard,2018-19,air-force,681,85,11.8,.433,.867,.541,.398,4,41,37,15.8,0.8,81,15,4,0.7
sid-tomes-1,sid-tomes-1,Sid Tomes,6-4,200lb,Guard,2018-19,air-force,743,93,6.8,.318,.560,.510,.220,6,72,29,13.8,-0.1,87,17,3,0.7
keaton-vansoelen-1,keaton-vansoelen-1,Keaton Van Soelen,6-7,190lb,Guard,2018-19,air-force,675,97,10.0,.439,.688,.519,.270,30,28,24,12.1,0.5,67,17,11,0.7
ameka-akaya-1,ameka-akaya-1,Ameka Akaya,6-6,215lb,Forward,2018-19,air-force,320,51,14.7,.588,.800,.631,.450,11,15,28,20.4,0.4,40,4,1,0.3
pervis-louder-1,pervis-louder-1,Pervis Louder,6-4,187lb,Guard,2018-19,air-force,427,49,9.6,.467,.606,.596,.242,8,31,32,17.2,0.1,41,12,7,0.4
lesean-brown-1,lesean-brown-1,LeSean Brown,6-2,185lb,Guard,2018-19,air-force,117,16,11.2,.321,.789,.375,.250,2,9,5,19.2,0.1,14,2,0,0.1
abe-kinrade-1,abe-kinrade-1,Abe Kinrade,6-7,190lb,Forward,2018-19,air-force,65,18,18.9,.444,.857,.429,.500,4,1,1,18.3,0.2,14,1,1,0.1
bryce-hughes-1,bryce-hughes-1,Bryce Hughes,6-4,195lb,Guard,2018-19,air-force,20,3,19.3,.500,.444,.500,,0,3,0,16.7,0.1,3,1,0,0.0
charles-obriant-1,charles-obriant-1,Charles O'Briant,6-8,210lb,Forward,2018-19,air-force,12,5,8.1,.600,.000,.600,,2,0,3,37.7,0.0,3,0,0,0.0
zach-couper-1,zach-couper-1,Zach Couper,6-4,205lb,Guard,2018-19,air-force,17,0,6.0,.250,1.000,1.000,.000,0,1,0,15.5,0.0,0,0,0,0.0
james-edwards-4,james-edwards-4,James Edwards,6-0,165lb,Guard,2018-19,air-force,12,0,10.6,.000,1.000,,.000,0,3,0,13.1,0.0,0,0,0,0.0
nick-rene-1,nick-rene-1,Nick Rene,6-0,180lb,Guard,2018-19,air-force,10,1,-5.3,.250,,.500,.000,1,0,1,26.7,0.0,0,0,0,0.0
isaac-monson-1,isaac-monson-1,Isaac Monson,6-9,205lb,Forward,2018-19,air-force,19,6,1.6,.000,.250,.000,,3,0,1,10.9,0.0,3,0,0,0.0
daniel-utomi-1,daniel-utomi-1,Daniel Utomi,6-6,215lb,Guard-Forward,2018-19,akron,1107,180,14.8,.403,.675,.451,.373,37,42,58,22.9,1.4,143,19,13,2.2
loren-jackson-1,loren-jackson-1,Loren Jackson,5-8,160lb,Guard,2018-19,akron,1042,93,15.4,.345,.805,.401,.300,26,102,60,25.9,1.6,67,30,5,1.8
jimond-ivey-1,jimond-ivey-1,Jimond Ivey,6-5,200lb,Guard,2018-19,akron,1077,201,18.8,.458,.783,.660,.255,50,110,63,19.6,2.2,151,41,11,2.4
